No,서울특별시 강남구 K타워(삼성동 158-23),경도,위도,상태
1,서울특별시 강남구 K타워(삼성동 158-23),127.06235572781,37.4960708164601,인근좌표
2,서울특별시 강남구 도곡동 949-3,127.033332693202,37.4871722424542,정좌표
3,서울특별시 강남구 도곡동 949-3,127.033332693202,37.4871722424542,정좌표
4,서울특별시 강남구 역삼동 837,127.031164718346,37.4915706032847,정좌표
5,서울특별시 강남구 역삼동 837,127.031164718346,37.4915706032847,정좌표
6,서울특별시 강남구 역삼동 826-22,127.029189647385,37.4957065426907,정좌표
7,서울특별시 강남구 역삼동 826-22,127.029189647385,37.4957065426907,정좌표
8,서울특별시 강남구 역삼동 826-20,127.029529183662,37.4953287549871,정좌표
9,서울특별시 강남구 역삼동 826-20,127.029529183662,37.4953287549871,정좌표
10,서울특별시 강남구 역삼동 735,127.033018540039,37.4992589409164,정좌표
11,서울특별시 강남구 역삼동 735,127.033018540039,37.4992589409164,정좌표
12,서울특별시 강남구 역삼동 718-2,127.038996756383,37.5010967820733,정좌표
13,서울특별시 강남구 역삼동 718-2,127.038996756383,37.5010967820733,정좌표
14,서울특별시 강남구 역삼동 706-1,127.044077738943,37.5025811981928,정좌표
15,서울특별시 강남구 역삼동 706-1,127.044077738943,37.5025811981928,정좌표
16,서울특별시 강남구 대치동 890-6,127.051515275954,37.5048458106519,정좌표
17,서울특별시 강남구 대치동 890-6,127.051515275954,37.5048458106519,정좌표
18,서울특별시 강남구 대치동945-2,127.061580144159,37.507955710961,정좌표
19,서울특별시 강남구 대치동945-2,127.061580144159,37.507955710961,정좌표
20,서울특별시 강남구 대치동 997-4,127.066358258286,37.5092560581479,정좌표
21,서울특별시 강남구 대치동 997-4,127.066358258286,37.5092560581479,정좌표
22,서울특별시 강남구 대치동 998,127.067064942607,37.5092211936668,정좌표
23,서울특별시 강남구 대치동 998,127.067064942607,37.5092211936668,정좌표
24,서울특별시 강남구 테헤란로 432 DB금융센터빌딩,127.054762052904,37.5057740279683,정좌표
25,서울특별시 강남구 테헤란로 432 DB금융센터빌딩,127.054762052904,37.5057740279683,정좌표
26,서울특별시 강남구 대치동 892 포스코빌딩,127.056128945899,37.5057809964629,정좌표
27,서울특별시 강남구 대치동 892 포스코빌딩,127.056128945899,37.5057809964629,정좌표
28,서울특별시 강남구 대치동 892 포스코빌딩,127.056128945899,37.5057809964629,정좌표
29,서울특별시 강남구 대치동 892 포스코빌딩,127.056128945899,37.5057809964629,정좌표
30,서울특별시 강남구 504 해성1빌딩,127.06235572781,37.4960708164601,인근좌표
